               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.053246,            0.011152,            0.025378,             0.55459,                0.75,             0.81464,              0.5028,            0.037964,           0.0078065,            0.019775,            0.008776,            0.008776,            0.008776
                  70,            0.054548,            0.010506,             0.02611,             0.60713,             0.84191,             0.88878,              0.4681,            0.035597,           0.0076775,            0.019216,            0.008758,            0.008758,            0.008758
                  71,            0.056394,            0.012955,             0.02574,             0.53663,             0.70238,             0.79909,             0.38957,            0.045879,           0.0073535,            0.019012,             0.00874,             0.00874,             0.00874
                  72,            0.058306,            0.010402,            0.024075,             0.53663,             0.70238,             0.79909,             0.38957,            0.045879,           0.0073535,            0.019012,            0.008722,            0.008722,            0.008722
                  73,            0.050939,            0.012887,            0.025083,             0.61265,             0.82143,             0.93483,             0.56566,            0.041456,           0.0072543,            0.018621,            0.008704,            0.008704,            0.008704
                  74,            0.048654,             0.01051,            0.025821,             0.60083,             0.92038,             0.81849,             0.34667,            0.041056,           0.0071966,            0.017688,            0.008686,            0.008686,            0.008686
                  75,            0.064752,             0.01049,            0.023229,              0.7523,             0.89593,             0.91493,             0.60097,              0.0343,           0.0072413,            0.017286,            0.008668,            0.008668,            0.008668
                  76,             0.04388,            0.010224,            0.023425,              0.7523,             0.89593,             0.91493,             0.60097,              0.0343,           0.0072413,            0.017286,             0.00865,             0.00865,             0.00865
                  77,            0.047601,            0.014958,            0.024349,               0.697,             0.89276,             0.93027,             0.65358,            0.031698,           0.0071946,            0.016488,            0.008632,            0.008632,            0.008632
                  78,            0.045385,            0.013093,             0.02001,             0.77231,             0.92857,             0.94711,             0.63741,            0.031865,           0.0071674,            0.015699,            0.008614,            0.008614,            0.008614
                  79,            0.046481,            0.012896,            0.024845,             0.63608,              0.9191,             0.79219,             0.50194,            0.045237,            0.007428,            0.014846,            0.008596,            0.008596,            0.008596
                  80,            0.061203,            0.011476,            0.023972,             0.63608,              0.9191,             0.79219,             0.50194,            0.045237,            0.007428,            0.014846,            0.008578,            0.008578,            0.008578
                  81,            0.058403,            0.013001,             0.02105,             0.68274,             0.85197,             0.78411,             0.38953,            0.041347,           0.0072543,            0.014096,             0.00856,             0.00856,             0.00856
                  82,            0.055828,            0.011347,            0.026373,             0.68658,             0.92857,             0.93908,             0.61276,            0.033893,           0.0068512,            0.013335,            0.008542,            0.008542,            0.008542
                  83,            0.047096,            0.010862,            0.021203,             0.64498,             0.94309,             0.87492,             0.52643,            0.035774,           0.0070456,            0.012499,            0.008524,            0.008524,            0.008524
                  84,             0.05118,            0.011021,            0.019824,             0.64498,             0.94309,             0.87492,             0.52643,            0.035774,           0.0070456,            0.012499,            0.008506,            0.008506,            0.008506
                  85,            0.041757,           0.0092436,            0.018642,             0.76874,             0.96429,             0.95753,             0.71049,            0.029121,           0.0069343,            0.012061,            0.008488,            0.008488,            0.008488
                  86,            0.047629,            0.011366,            0.021772,             0.92776,             0.96429,             0.98744,              0.5841,            0.026933,           0.0068225,            0.011521,             0.00847,             0.00847,             0.00847
                  87,            0.041635,            0.012979,            0.019589,             0.65897,             0.82143,             0.84559,             0.29497,            0.042897,           0.0075611,             0.01278,            0.008452,            0.008452,            0.008452
                  88,            0.055322,            0.012943,            0.018185,             0.65897,             0.82143,             0.84559,             0.29497,            0.042897,           0.0075611,             0.01278,            0.008434,            0.008434,            0.008434
                  89,            0.045933,            0.011815,            0.027433,             0.78207,             0.81435,             0.89996,             0.55086,            0.029752,           0.0071586,            0.016073,            0.008416,            0.008416,            0.008416
                  90,            0.043444,             0.01235,            0.019128,             0.54857,                0.75,             0.82729,             0.34988,             0.04572,           0.0075112,            0.018368,            0.008398,            0.008398,            0.008398
                  91,            0.052028,            0.010917,             0.02162,             0.69161,             0.78102,             0.89343,             0.57877,            0.030854,           0.0069541,            0.017095,             0.00838,             0.00838,             0.00838
                  92,            0.043918,             0.01109,            0.017772,             0.69161,             0.78102,             0.89343,             0.57877,            0.030854,           0.0069541,            0.017095,            0.008362,            0.008362,            0.008362
                  93,            0.035152,           0.0085518,            0.023321,             0.93144,             0.92857,             0.96139,             0.55042,            0.026794,           0.0066408,           0.0096975,            0.008344,            0.008344,            0.008344
                  94,            0.048126,            0.011404,             0.02381,             0.42072,             0.95065,             0.55931,             0.18937,            0.052832,            0.007908,           0.0092937,            0.008326,            0.008326,            0.008326
                  95,            0.056977,             0.01359,            0.020658,             0.60759,             0.84524,              0.7525,             0.37982,            0.033212,            0.007035,           0.0088947,            0.008308,            0.008308,            0.008308
                  96,            0.042286,            0.011983,            0.020155,             0.60759,             0.84524,              0.7525,             0.37982,            0.033212,            0.007035,           0.0088947,             0.00829,             0.00829,             0.00829
                  97,            0.039983,            0.012778,            0.017384,             0.78052,             0.96429,             0.92259,             0.68874,            0.026206,           0.0068241,           0.0088137,            0.008272,            0.008272,            0.008272
                  98,            0.042649,             0.01072,            0.016086,             0.76957,             0.92857,             0.86785,              0.3134,             0.03934,           0.0075043,           0.0088306,            0.008254,            0.008254,            0.008254
                  99,            0.043354,            0.014089,            0.017326,             0.96967,             0.96429,             0.98085,              0.6609,            0.027262,           0.0066357,           0.0086267,            0.008236,            0.008236,            0.008236
                 100,            0.049784,            0.012365,            0.015784,             0.96967,             0.96429,             0.98085,              0.6609,            0.027262,           0.0066357,           0.0086267,            0.008218,            0.008218,            0.008218
                 101,            0.037113,            0.011047,            0.019703,             0.96783,             0.96429,             0.97653,              0.7328,            0.022479,           0.0065343,           0.0086659,              0.0082,              0.0082,              0.0082
                 102,            0.038073,            0.010282,            0.014322,             0.54235,             0.92857,             0.73162,             0.52982,            0.032514,           0.0069284,           0.0083667,            0.008182,            0.008182,            0.008182
                 103,            0.042981,            0.010968,            0.013967,             0.65686,             0.95291,             0.85979,             0.34384,             0.03233,           0.0065681,           0.0077283,            0.008164,            0.008164,            0.008164
                 104,            0.041932,             0.01134,            0.014281,             0.65686,             0.95291,             0.85979,             0.34384,             0.03233,           0.0065681,           0.0077283,            0.008146,            0.008146,            0.008146
                 105,            0.041588,            0.012949,            0.015093,             0.85308,             0.92164,             0.95622,             0.53318,            0.022376,           0.0063637,           0.0075365,            0.008128,            0.008128,            0.008128
                 106,             0.03093,           0.0098204,            0.010421,             0.55602,             0.92857,              0.7526,             0.40981,             0.03325,           0.0064764,           0.0072877,             0.00811,             0.00811,             0.00811
                 107,            0.047132,            0.011374,            0.015141,             0.67108,             0.90274,              0.8519,              0.5151,             0.03536,           0.0061694,           0.0069326,            0.008092,            0.008092,            0.008092
                 108,            0.048835,           0.0098391,            0.013601,             0.67108,             0.90274,              0.8519,              0.5151,             0.03536,           0.0061694,           0.0069326,            0.008074,            0.008074,            0.008074
                 109,            0.038764,            0.010716,            0.015119,             0.89966,             0.96429,             0.97828,             0.72233,            0.027112,           0.0059406,           0.0067437,            0.008056,            0.008056,            0.008056
                 110,            0.041638,            0.011157,            0.011244,             0.47949,             0.86566,             0.73722,             0.52242,            0.035253,           0.0066301,           0.0061179,            0.008038,            0.008038,            0.008038
                 111,            0.045938,            0.010063,            0.014394,             0.75383,                   1,              0.9661,             0.69941,            0.031219,           0.0063125,           0.0057412,             0.00802,             0.00802,             0.00802
                 112,            0.037494,             0.01094,            0.019225,             0.75383,                   1,              0.9661,             0.69941,            0.031219,           0.0063125,           0.0057412,            0.008002,            0.008002,            0.008002
                 113,             0.03689,            0.012188,            0.013845,             0.57475,             0.85714,             0.86802,             0.51031,            0.026956,           0.0063602,           0.0056005,            0.007984,            0.007984,            0.007984
                 114,            0.039405,            0.011291,             0.01398,             0.77844,             0.90013,             0.97255,             0.42989,            0.032787,           0.0063739,           0.0053386,            0.007966,            0.007966,            0.007966
                 115,            0.042141,            0.010957,            0.014408,             0.84336,             0.90278,             0.94778,             0.49656,            0.034297,           0.0065293,           0.0064392,            0.007948,            0.007948,            0.007948
                 116,            0.049823,           0.0095849,            0.024604,             0.84336,             0.90278,             0.94778,             0.49656,            0.034297,           0.0065293,           0.0064392,             0.00793,             0.00793,             0.00793
                 117,            0.033859,            0.012813,            0.014017,             0.94234,             0.92857,             0.95147,             0.67766,            0.023466,           0.0062415,           0.0066599,            0.007912,            0.007912,            0.007912
                 118,            0.034949,             0.01094,            0.011406,             0.94477,             0.92981,             0.96396,             0.64985,            0.026518,            0.006365,           0.0067992,            0.007894,            0.007894,            0.007894
                 119,            0.035122,           0.0091909,            0.012922,             0.92451,             0.94602,             0.95291,             0.61525,            0.026599,           0.0062527,           0.0064307,            0.007876,            0.007876,            0.007876
                 120,            0.040302,            0.011762,             0.01547,             0.92451,             0.94602,             0.95291,             0.61525,            0.026599,           0.0062527,           0.0064307,            0.007858,            0.007858,            0.007858
                 121,            0.033269,           0.0098941,            0.016373,             0.97007,             0.96429,             0.97943,             0.75522,            0.020481,           0.0059118,           0.0063149,             0.00784,             0.00784,             0.00784
                 122,            0.030712,           0.0087206,            0.016051,             0.96024,             0.96429,             0.97449,             0.67943,            0.024486,           0.0058541,           0.0061591,            0.007822,            0.007822,            0.007822
                 123,            0.038503,           0.0098476,            0.011819,             0.90965,             0.85493,             0.96493,             0.53573,            0.027927,           0.0055384,           0.0069883,            0.007804,            0.007804,            0.007804
                 124,            0.041237,            0.012901,            0.012564,             0.90965,             0.85493,             0.96493,             0.53573,            0.027927,           0.0055384,           0.0069883,            0.007786,            0.007786,            0.007786
                 125,            0.035017,            0.010711,            0.010587,             0.86502,             0.92948,             0.98256,             0.64274,            0.020123,           0.0052301,           0.0067431,            0.007768,            0.007768,            0.007768
                 126,            0.033888,           0.0089944,            0.012032,             0.89786,             0.96351,             0.97891,             0.72907,            0.029271,           0.0057016,           0.0068018,             0.00775,             0.00775,             0.00775
